pau pau
R pau
sil sil
inhale inhale
br inhale
exhale exhale
vf vf
a a
i i
u u
oo oo
e e
ae ae
ia ia
ua ua
ooa ooa
o o
oh oh
eh eh
ai ai
ao ao
N N
M M
NG NG
gcl gcl
bcl bcl
dcl dcl
ga g a
gi g i
gu g u
goo g oo
ge g e
gae g ae
gia g ia
gua g ua
gooa g ooa
go g o
goh g oh
geh g eh
gai g ai
gao g ao
gaw g a w
giw g i w
guw g u w
goow g oo w
gew g e w
gaew g ae w
giaw g ia w
guaw g ua w
gooaw g ooa w
gow g o w
gohw g oh w
gehw g eh w
gaiw g ai w
gaow g ao w
gal g a l
gil g i l
gul g u l
gool g oo l
gel g e l
gael g ae l
gial g ia l
gual g ua l
gooal g ooa l
gol g o l
gohl g oh l
gehl g eh l
gail g ai l
gaol g ao l
gan g a N
gin g i N
gun g u N
goon g oo N
gen g e N
gaen g ae N
gian g ia N
guan g ua N
gooan g ooa N
gon g o N
gohn g oh N
gehn g eh N
gain g ai N
gaon g ao N
gam g a M
gim g i M
gum g u M
goom g oo M
gem g e M
gaem g ae M
giam g ia M
guam g ua M
gooam g ooa M
gom g o M
gohm g oh M
gehm g eh M
gaim g ai M
gaom g ao M
gang g a NG
ging g i NG
gung g u NG
goong g oo NG
geng g e NG
gaeng g ae NG
giang g ia NG
guang g ua NG
gooang g ooa NG
gong g o NG
gohng g oh NG
gehng g eh NG
gaing g ai NG
gaong g ao NG
gad g a dcl
gid g i dcl
gud g u dcl
good g oo dcl
ged g e dcl
gaed g ae dcl
giad g ia dcl
guad g ua dcl
gooad g ooa dcl
god g o dcl
gohd g oh dcl
gehd g eh dcl
gaid g ai dcl
gaod g ao dcl
gab g a bcl
gib g i bcl
gub g u bcl
goob g oo bcl
geb g e bcl
gaeb g ae bcl
giab g ia bcl
guab g ua bcl
gooab g ooa bcl
gob g o bcl
gohb g oh bcl
gehb g eh bcl
gaib g ai bcl
gaob g ao bcl
gag g a gcl
gig g i gcl
gug g u gcl
goog g oo gcl
geg g e gcl
gaeg g ae gcl
giag g ia gcl
guag g ua gcl
gooag g ooa gcl
gog g o gcl
gohg g oh gcl
gehg g eh gcl
gaig g ai gcl
gaog g ao gcl
ka k a
ki k i
ku k u
koo k oo
ke k e
kae k ae
kia k ia
kua k ua
kooa k ooa
ko k o
koh k oh
keh k eh
kai k ai
kao k ao
kaw k a w
kiw k i w
kuw k u w
koow k oo w
kew k e w
kaew k ae w
kiaw k ia w
kuaw k ua w
kooaw k ooa w
kow k o w
kohw k oh w
kehw k eh w
kaiw k ai w
